cruise,date_time_utc,latitude,longitude,sample_id,replicate,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,fo_blank,fa_blank,fo_fa,chl,phaeo,qc
en661,2021-02-03 16:47:00+00:00,NaN,NaN,1,a,152,6,0.8134,2.2163,220,121,0.98,219.02,120.02,1.82,5.79,2.75,3
en661,2021-02-03 16:47:00+00:00,NaN,NaN,1,b,152,6,0.8134,2.2163,205,111,0.98,204.02,110.02,1.85,5.5,2.33,3
en661,2021-02-03 16:47:00+00:00,NaN,NaN,1,c,152,6,0.8134,2.2163,213,114,0.98,212.02,113.02,1.87,5.79,2.25,3
en661,2021-02-04 00:07:00+00:00,NaN,NaN,2,a,152,6,0.8134,2.2163,605,344,0.98,604.02,343.02,1.76,15.27,9.14,3
en661,2021-02-04 00:07:00+00:00,NaN,NaN,2,b,152,6,0.8134,2.2163,559,301,0.98,558.02,300.02,1.86,15.09,6.25,3
en661,2021-02-04 00:07:00+00:00,NaN,NaN,2,c,152,6,0.8134,2.2163,483,264,0.98,482.02,263.02,1.83,12.81,5.9,3
en661,2021-02-04 11:03:00+00:00,NaN,NaN,3,a,152,6,0.8134,2.2163,567,308,0.92,566.09,307.09,1.84,15.15,6.7,3
en661,2021-02-04 11:03:00+00:00,NaN,NaN,3,b,152,6,0.8134,2.2163,402,243,0.92,401.09,242.09,1.65,9.3,7.92,3
en661,2021-02-04 11:03:00+00:00,NaN,NaN,3,c,152,6,0.8134,2.2163,265,168,0.92,264.09,167.09,1.58,5.67,6.21,3
en661,2021-02-04 23:24:00+00:00,NaN,NaN,4,a,152,6,0.8134,2.2163,309,205,0.92,308.09,204.09,1.51,6.08,8.44,3
en661,2021-02-04 23:24:00+00:00,NaN,NaN,4,b,152,6,0.8134,2.2163,392,203,0.92,391.09,202.09,1.93,11.06,3.32,3
en661,2021-02-04 23:24:00+00:00,NaN,NaN,4,c,152,6,0.8134,2.2163,107,57.8,0.92,106.09,56.89,1.85,2.88,1.17,3
en661,2021-02-05 09:51:00+00:00,NaN,NaN,5,a,152,6,0.8134,2.2163,32.4,19.8,0.92,31.49,18.89,1.64,0.74,0.61,1
en661,2021-02-05 09:51:00+00:00,NaN,NaN,5,b,152,6,0.8134,2.2163,33,20.5,0.92,32.09,19.59,1.61,0.73,0.66,1
en661,2021-02-05 09:51:00+00:00,NaN,NaN,5,c,152,6,0.8134,2.2163,32.2,20,0.92,31.29,19.09,1.61,0.71,0.64,1
en661,2021-02-05 10:25:00+00:00,NaN,NaN,6,a,152,6,0.8134,2.2163,27.3,23.3,0.92,26.38,22.38,1.17,0.23,1.36,3
en661,2021-02-05 10:25:00+00:00,NaN,NaN,6,b,152,6,0.8134,2.2163,38.6,31.9,0.92,37.68,30.98,1.21,0.39,1.81,3
en661,2021-02-05 10:25:00+00:00,NaN,NaN,6,c,152,6,0.8134,2.2163,38.6,24,0.92,37.68,23.08,1.61,0.85,0.79,1
en661,2021-02-05 17:29:00+00:00,NaN,NaN,7,a,152,6,0.8134,2.2163,67.2,52.8,0.92,66.28,51.88,1.27,0.84,2.85,3
en661,2021-02-05 17:29:00+00:00,NaN,NaN,7,b,152,6,0.8134,2.2163,66.7,48.4,0.92,65.78,47.48,1.38,1.07,2.31,3
en661,2021-02-05 17:29:00+00:00,NaN,NaN,7,c,152,6,0.8134,2.2163,68.6,42.4,0.92,67.68,41.48,1.62,1.53,1.42,1
en661,2021-02-05 22:01:00+00:00,NaN,NaN,8,a,152,6,0.8134,2.2163,36.7,22,0.92,35.78,21.08,1.67,0.86,0.64,1
en661,2021-02-05 22:01:00+00:00,NaN,NaN,8,b,152,6,0.8134,2.2163,32,19.6,0.92,31.08,18.68,1.63,0.73,0.6,1
