cruise,date_time_utc,latitude,longitude,sample_id,replicate,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,fo_blank,fa_blank,fo_fa,chl,phaeo,qc
en661,2021-02-05 22:01:00+00:00,NaN,NaN,8,c,152,6,0.8134,2.2163,37,22.3,0.92,36.08,21.38,1.66,0.86,0.66,1
en661,2021-02-06 01:59:00+00:00,NaN,NaN,9,a,152,6,0.8134,2.2163,91,50,0.92,90.08,49.08,1.82,2.4,1.09,1
en661,2021-02-06 01:59:00+00:00,NaN,NaN,9,b,152,6,0.8134,2.2163,96.3,53,0.92,95.38,52.08,1.82,2.53,1.17,1
en661,2021-02-06 01:59:00+00:00,NaN,NaN,9,c,152,6,0.8134,2.2163,99.7,55.4,0.92,98.78,54.48,1.8,2.59,1.28,1
en661,2021-02-06 18:25:00+00:00,NaN,NaN,10,a,152,6,0.8134,2.2163,154,78.7,0.91,153.09,77.79,1.96,4.41,1.13,1
en661,2021-02-06 18:25:00+00:00,NaN,NaN,10,b,152,6,0.8134,2.2163,147,80.1,0.91,146.09,79.19,1.84,3.91,1.72,1
en661,2021-02-06 18:25:00+00:00,NaN,NaN,10,c,152,6,0.8134,2.2163,152,80,0.91,151.09,79.09,1.9,4.21,1.42,1
en661,2021-02-07 03:11:00+00:00,NaN,NaN,11,a,152,6,0.8134,2.2163,49,80.4,0.91,48.09,79.49,0.61,-1.84,7.49,3
en661,2021-02-07 03:11:00+00:00,NaN,NaN,11,b,152,6,0.8134,2.2163,72.7,103,0.91,71.79,102.09,0.71,-1.77,9.04,3
en661,2021-02-07 03:11:00+00:00,NaN,NaN,11,c,152,6,0.8134,2.2163,79.6,106,0.91,78.69,105.09,0.75,-1.54,9.02,3
en661,2021-02-07 15:23:00+00:00,NaN,NaN,12,a,152,6,0.8134,2.2163,163,88.3,0.92,162.08,87.38,1.85,4.37,1.85,1
en661,2021-02-07 15:23:00+00:00,NaN,NaN,12,b,152,6,0.8134,2.2163,159,87.9,0.92,158.08,86.98,1.81,4.16,2.03,1
en661,2021-02-07 15:23:00+00:00,NaN,NaN,12,c,152,6,0.8134,2.2163,173,98.6,0.92,172.08,97.68,1.75,4.35,2.6,1
en661,2021-02-07 16:22:00+00:00,NaN,NaN,13,a,152,6,0.8134,2.2163,228,125,0.92,227.08,124.08,1.82,6.03,2.8,1
en661,2021-02-07 16:22:00+00:00,NaN,NaN,13,b,152,6,0.8134,2.2163,225,120,0.92,224.08,119.08,1.88,6.14,2.33,1
en661,2021-02-07 16:22:00+00:00,NaN,NaN,13,c,152,6,0.8134,2.2163,219,125,0.92,218.08,124.08,1.75,5.5,3.33,1
en661,2021-02-07 16:38:00+00:00,NaN,NaN,14,a,152,6,0.8134,2.2163,353,197,0.92,352.08,196.08,1.79,9.13,4.83,1
en661,2021-02-07 16:38:00+00:00,NaN,NaN,14,b,152,6,0.8134,2.2163,319,167,0.92,318.08,166.08,1.91,8.89,2.93,1
en661,2021-02-07 16:38:00+00:00,NaN,NaN,14,c,152,6,0.8134,2.2163,316,169,0.92,315.08,168.08,1.87,8.6,3.36,1
en661,2021-02-07 18:38:00+00:00,NaN,NaN,15,a,152,6,0.8134,2.2163,190,101,0.92,189.08,100.08,1.88,5.21,1.91,1
en661,2021-02-07 18:38:00+00:00,NaN,NaN,15,b,152,6,0.8134,2.2163,185,98.5,0.92,184.08,97.58,1.88,5.06,1.88,1
en661,2021-02-07 18:38:00+00:00,NaN,NaN,15,c,152,6,0.8134,2.2163,179,104,0.92,178.08,103.08,1.72,4.39,2.95,1
en661,2021-02-07 19:00:00+00:00,NaN,NaN,16,a,152,6,0.8134,2.2163,122,66.4,0.92,121.08,65.48,1.84,3.25,1.41,1
en661,2021-02-07 19:00:00+00:00,NaN,NaN,16,b,152,6,0.8134,2.2163,119,63.9,0.92,118.08,62.98,1.86,3.22,1.26,1
en661,2021-02-07 19:00:00+00:00,NaN,NaN,16,c,152,6,0.8134,2.2163,108,68.5,0.92,107.08,67.58,1.58,2.31,2.5,1
en661,2021-02-07 22:10:00+00:00,NaN,NaN,17,a,152,6,0.8134,2.2163,170,85.1,0.92,169.08,84.18,2,4.97,1.02,3
en661,2021-02-07 22:10:00+00:00,NaN,NaN,17,b,152,6,0.8134,2.2163,158,90.1,0.92,157.08,89.18,1.75,3.97,2.37,1
en661,2021-02-07 22:10:00+00:00,NaN,NaN,17,c,152,6,0.8134,2.2163,171,92.2,0.92,170.08,91.28,1.85,4.61,1.89,1
en661,2021-02-07 23:47:00+00:00,NaN,NaN,18,a,152,6,0.8134,2.2163,227,130,0.92,226.08,129.08,1.75,5.67,3.51,1
en661,2021-02-07 23:47:00+00:00,NaN,NaN,18,b,152,6,0.8134,2.2163,232,131,0.92,231.08,130.08,1.77,5.91,3.35,1
en661,2021-02-07 23:47:00+00:00,NaN,NaN,18,c,152,6,0.8134,2.2163,235,128,0.92,234.08,127.08,1.84,6.26,2.78,1
en661,2021-02-08 00:03:00+00:00,NaN,NaN,19,a,152,6,0.8134,2.2163,215,122,0.92,214.08,121.08,1.76,5.44,3.17,1
en661,2021-02-08 00:03:00+00:00,NaN,NaN,19,b,152,6,0.8134,2.2163,206,121,0.92,205.08,120.08,1.7,4.97,3.57,1
en661,2021-02-08 00:03:00+00:00,NaN,NaN,19,c,152,6,0.8134,2.2163,211,122,0.92,210.08,121.08,1.73,5.21,3.41,1
en661,2021-02-08 00:20:00+00:00,NaN,NaN,20,a,152,6,0.8134,2.2163,260,136,0.92,259.08,135.08,1.91,7.25,2.36,1
en661,2021-02-08 00:20:00+00:00,NaN,NaN,20,b,152,6,0.8134,2.2163,245,131,0.92,244.08,130.08,1.87,6.67,2.59,1
en661,2021-02-08 00:20:00+00:00,NaN,NaN,20,c,152,6,0.8134,2.2163,262,134,0.92,261.08,133.08,1.96,7.49,1.98,1
