cruise,date_time_utc,latitude,longitude,cast,replicate,chl,qc,phaeo,fluorescence_wetstar,fluorescence_ecofl,par
en661,2/3/21 19:06,41.1957,-70.8771,1,a,5.616566474,1,2.428278257,2.001,2.0856,415.1059829
en661,2/3/21 19:06,41.1957,-70.8771,1,b,4.914495665,1,4.055438518,2.001,2.0856,415.1059829
en661,2/3/21 19:06,41.1957,-70.8771,1,c,5.031507466,1,3.511462354,2.001,2.0856,415.1059829
en661,2/4/21 2:04,41.0309,-70.8889,2,a,1.006301493,3,1.995756101,1.4583,0.8475,9.1837607
en661,2/4/21 2:04,41.0309,-70.8889,2,b,1.374888668,1,1.420802818,1.4583,0.8475,9.1837607
en661,2/4/21 2:04,41.0309,-70.8889,2,c,1.439245159,1,1.399142763,1.4583,0.8475,9.1837607
en661,2/4/21 13:12,40.6963,-70.8879,5,a,4.270930756,1,2.140579595,3.8928,1.7559,174.491453
en661,2/4/21 13:12,40.6963,-70.8879,5,b,4.323586067,1,2.308522539,3.8928,1.7559,174.491453
en661,2/4/21 13:12,40.6963,-70.8879,5,c,NaN,4,NaN,3.8928,1.7559,174.491453
en661,2/5/21 13:45,39.7705,-70.8728,10,a,0.608461368,1,1.055276432,0.7139,0.6936,290.2068376
en661,2/5/21 13:45,39.7705,-70.8728,10,b,NaN,4,NaN,0.7139,0.6936,290.2068376
en661,2/5/21 13:45,39.7705,-70.8728,10,c,0.994600313,1,0.541048178,0.7139,0.6936,290.2068376
en661,2/6/21 16:23,40.8597,-70.8833,12,a,2.182270099,1,0.981055494,0.5124,0.613,323.2683761
en661,2/6/21 16:23,40.8597,-70.8833,12,b,NaN,4,NaN,0.5124,0.613,323.2683761
en661,2/6/21 16:23,40.8597,-70.8833,12,c,2.088660657,1,1.017736353,0.5124,0.613,323.2683761
en661,2/6/21 21:30,41.1618,-70.8913,13,a,5.499554672,1,2.260753891,2.6368,3.0892,143.2666667
en661,2/6/21 21:30,41.1618,-70.8913,13,b,6.201625482,1,1.487522355,2.6368,3.0892,143.2666667
en661,2/6/21 21:30,41.1618,-70.8913,13,c,5.265531069,1,2.281295313,2.6368,3.0892,143.2666667
