cruise,date_time_utc,latitude,longitude,cast,replicate,chl,qc,phaeo,fluorescence_wetstar,fluorescence_ecofl,par
en644,2019-08-20 19:18:00+00:00,41.1969,-70.8776,1,a,0.592,1,0.395,0.7914,0.7669,1587.175
en644,2019-08-20 19:18:00+00:00,41.1969,-70.8776,1,b,0.586,1,0.36,0.7914,0.7669,1587.175
en644,2019-08-20 19:18:00+00:00,41.1969,-70.8776,1,c,0.586,1,0.435,0.7914,0.7669,1587.175
en644,2019-08-21 00:48:00+00:00,41.0237,-70.8715,2,a,0.731,1,0.316,0.9787,1.4702,0
en644,2019-08-21 00:48:00+00:00,41.0237,-70.8715,2,b,0.597,1,0.429,0.9787,1.4702,0
en644,2019-08-21 00:48:00+00:00,41.0237,-70.8715,2,c,0.615,1,0.446,0.9787,1.4702,0
en644,2019-08-21 20:51:00+00:00,40.3524,-70.8745,7,a,1.427,1,0.572,0.8202,0.8256,588.6705
en644,2019-08-21 20:51:00+00:00,40.3524,-70.8745,7,b,1.363,1,0.574,0.8202,0.8256,588.6705
en644,2019-08-21 20:51:00+00:00,40.3524,-70.8745,7,c,1.479,1,0.513,0.8202,0.8256,588.6705
en644,2019-08-22 04:52:00+00:00,40.114,-70.778,9,a,0.341,1,0.272,0.1791,0.2981,0
en644,2019-08-22 04:52:00+00:00,40.114,-70.778,9,b,0.355,1,0.187,0.1791,0.2981,0
en644,2019-08-22 04:52:00+00:00,40.114,-70.778,9,c,0.318,1,0.233,0.1791,0.2981,0
en644,2019-08-22 17:29:00+00:00,39.9342,-70.8849,13,a,0.168,1,0.185,0.0638,0.0343,1728.754
en644,2019-08-22 17:29:00+00:00,39.9342,-70.8849,13,b,0.142,1,0.096,0.0638,0.0343,1728.754
en644,2019-08-22 17:29:00+00:00,39.9342,-70.8849,13,c,0.104,1,0.207,0.0638,0.0343,1728.754
en644,2019-08-23 01:56:00+00:00,39.7576,-70.8766,17,a,0.107,1,0.099,0.0638,0.0636,0
en644,2019-08-23 01:56:00+00:00,39.7576,-70.8766,17,b,0.116,1,0.081,0.0638,0.0636,0
en644,2019-08-23 01:56:00+00:00,39.7576,-70.8766,17,c,0.11,1,0.119,0.0638,0.0636,0
en644,2019-08-24 05:35:00+00:00,40.698,-70.9018,23,a,3.787,1,2.102,1.4038,2.1735,0
en644,2019-08-24 05:35:00+00:00,40.698,-70.9018,23,b,3.364,1,2.34,1.4038,2.1735,0
en644,2019-08-24 05:35:00+00:00,40.698,-70.9018,23,c,3.596,1,2.451,1.4038,2.1735,0
