cruise,date_time_utc,latitude,longitude,cast,replicate,chl,qc,phaeo,fluorescence_wetstar,fluorescence_ecofl,par
en657,10/13/20 18:05,41.2031,-70.8751,1,a,4.29755508,1,1.226335251,2.7188,2.0594,0
en657,10/13/20 18:05,41.2031,-70.8751,1,b,3.426929697,1,2.317546233,2.7188,2.0594,0
en657,10/13/20 18:05,41.2031,-70.8751,1,c,4.476619875,1,1.054386121,2.7188,2.0594,0
en657,10/14/20 13:22,41.0294,-70.8843,5,a,2.550129666,1,1.559291091,1.7462,1.3634,769.3700855
en657,10/14/20 13:22,41.0294,-70.8843,5,b,2.198174725,1,1.932593026,1.7462,1.3634,769.3700855
en657,10/14/20 13:22,41.0294,-70.8843,5,c,NaN,4,NaN,1.7462,1.3634,769.3700855
en657,10/14/20 18:44,40.6956,-70.8945,6,a,1.17318314,1,0.701794449,1.0763,0.9312,365.1247863
en657,10/14/20 18:44,40.6956,-70.8945,6,b,NaN,4,NaN,1.0763,0.9312,365.1247863
en657,10/14/20 18:44,40.6956,-70.8945,6,c,1.339898638,1,0.577772937,1.0763,0.9312,365.1247863
en657,10/15/20 8:25,39.9321,-70.8779,9,a,0.710084532,1,0.297191142,0.7521,0.8286,40.9833944
en657,10/15/20 8:25,39.9321,-70.8779,9,b,0.568067625,1,0.503249029,0.7521,0.8286,40.9833944
en657,10/15/20 8:25,39.9321,-70.8779,9,c,0.691560588,1,0.25878977,0.7521,0.8286,40.9833944
en657,10/15/20 16:56,39.7684,-70.8759,12,a,0.380975788,1,0.244242071,0.5,0.3964,1635.610012
en657,10/15/20 16:56,39.7684,-70.8759,12,b,0.345780294,1,0.341343846,0.5,0.3964,1635.610012
en657,10/15/20 16:56,39.7684,-70.8759,12,c,0.364304238,1,0.308588573,0.5,0.3964,1635.610012
en657,10/16/20 12:04,40.1291,-70.7676,15,a,0.611290162,1,0.370831638,1.1123,0.9019,221.682906
en657,10/16/20 12:04,40.1291,-70.7676,15,b,0.648338051,1,0.46186571,1.1123,0.9019,221.682906
en657,10/16/20 12:04,40.1291,-70.7676,15,c,0.598940866,1,0.36183394,1.1123,0.9019,221.682906
en657,10/17/20 0:11,40.3603,-70.8888,17,a,NaN,4,NaN,1.1339,1.2755,106.1842491
en657,10/17/20 0:11,40.3603,-70.8888,17,b,0.654512699,1,0.408816622,1.1339,1.2755,106.1842491
en657,10/17/20 0:11,40.3603,-70.8888,17,c,1.086738066,1,0.673926373,1.1339,1.2755,106.1842491
