cruise,date_time_utc,latitude,longitude,sample_id,replicate,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,fo_blank,fa_blank,fo_fa,chl,phaeo
en661,2021-02-03 16:47:00+00:00,,,1,c,152,6,0.8134,2.2163,213,114,0.98,212.02,113.02,1.87,5.79,2.25
en661,2021-02-04 00:07:00+00:00,,,2,a,152,6,0.8134,2.2163,605,344,0.98,604.02,343.02,1.76,15.27,9.14
en661,2021-02-04 00:07:00+00:00,,,2,b,152,6,0.8134,2.2163,559,301,0.98,558.02,300.02,1.86,15.09,6.25
en661,2021-02-04 00:07:00+00:00,,,2,c,152,6,0.8134,2.2163,483,264,0.98,482.02,263.02,1.83,12.81,5.9
en661,2021-02-04 11:03:00+00:00,,,3,a,152,6,0.8134,2.2163,567,308,0.92,566.09,307.09,1.84,15.15,6.7
en661,2021-02-04 11:03:00+00:00,,,3,b,152,6,0.8134,2.2163,402,243,0.92,401.09,242.09,1.65,9.3,7.92
en661,2021-02-04 11:03:00+00:00,,,3,c,152,6,0.8134,2.2163,265,168,0.92,264.09,167.09,1.58,5.67,6.21
en661,2021-02-04 23:24:00+00:00,,,4,a,152,6,0.8134,2.2163,309,205,0.92,308.09,204.09,1.51,6.08,8.44
en661,2021-02-04 23:24:00+00:00,,,4,b,152,6,0.8134,2.2163,392,203,0.92,391.09,202.09,1.93,11.06,3.32
en661,2021-02-04 23:24:00+00:00,,,4,c,152,6,0.8134,2.2163,107,57.8,0.92,106.09,56.89,1.85,2.88,1.17
en661,2021-02-05 09:51:00+00:00,,,5,a,152,6,0.8134,2.2163,32.4,19.8,0.92,31.49,18.89,1.64,0.74,0.61
en661,2021-02-05 09:51:00+00:00,,,5,b,152,6,0.8134,2.2163,33,20.5,0.92,32.09,19.59,1.61,0.73,0.66
en661,2021-02-05 09:51:00+00:00,,,5,c,152,6,0.8134,2.2163,32.2,20,0.92,31.29,19.09,1.61,0.71,0.64
en661,2021-02-05 10:25:00+00:00,,,6,a,152,6,0.8134,2.2163,27.3,23.3,0.92,26.38,22.38,1.17,0.23,1.36
en661,2021-02-05 10:25:00+00:00,,,6,b,152,6,0.8134,2.2163,38.6,31.9,0.92,37.68,30.98,1.21,0.39,1.81
en661,2021-02-05 10:25:00+00:00,,,6,c,152,6,0.8134,2.2163,38.6,24,0.92,37.68,23.08,1.61,0.85,0.79
en661,2021-02-05 17:29:00+00:00,,,7,a,152,6,0.8134,2.2163,67.2,52.8,0.92,66.28,51.88,1.27,0.84,2.85
en661,2021-02-05 17:29:00+00:00,,,7,b,152,6,0.8134,2.2163,66.7,48.4,0.92,65.78,47.48,1.38,1.07,2.31
en661,2021-02-05 17:29:00+00:00,,,7,c,152,6,0.8134,2.2163,68.6,42.4,0.92,67.68,41.48,1.62,1.53,1.42
en661,2021-02-05 22:01:00+00:00,,,8,a,152,6,0.8134,2.2163,36.7,22,0.92,35.78,21.08,1.67,0.86,0.64
en661,2021-02-05 22:01:00+00:00,,,8,b,152,6,0.8134,2.2163,32,19.6,0.92,31.08,18.68,1.63,0.73,0.6
en661,2021-02-05 22:01:00+00:00,,,8,c,152,6,0.8134,2.2163,37,22.3,0.92,36.08,21.38,1.66,0.86,0.66
en661,2021-02-06 01:59:00+00:00,,,9,a,152,6,0.8134,2.2163,91,50,0.92,90.08,49.08,1.82,2.4,1.09
en661,2021-02-06 01:59:00+00:00,,,9,b,152,6,0.8134,2.2163,96.3,53,0.92,95.38,52.08,1.82,2.53,1.17
en661,2021-02-06 01:59:00+00:00,,,9,c,152,6,0.8134,2.2163,99.7,55.4,0.92,98.78,54.48,1.8,2.59,1.28
en661,2021-02-06 18:25:00+00:00,,,10,a,152,6,0.8134,2.2163,154,78.7,0.91,153.09,77.79,1.96,4.41,1.13
