cruise,date_time_utc,latitude,longitude,depth,replicate,filter_size,chl,phaeo,iode_quality_flag,fluorescence_wetstar_match,fluorescence_ecofl_match
en668,2021-07-21 01:00:00,41.0189,-70.8829,5,a,>0,0.84,0.1,1,0.987933333333333,1.2211
en668,2021-07-21 01:00:00,41.0189,-70.8829,5,b,>0,0.56,0.34,1,0.987933333333333,1.2211
en668,2021-07-21 01:00:00,41.0189,-70.8829,5,c,>0,0.72,0.24,1,0.987933333333333,1.2211
en668,2021-07-21 07:56:00,41.0285,-70.9947,5,a,>0,0.94,0.24,1,1.1016,1.40913333333333
en668,2021-07-21 07:56:00,41.0285,-70.9947,5,b,>0,0.95,0.16,1,1.1016,1.40913333333333
en668,2021-07-21 07:56:00,41.0285,-70.9947,5,c,>0,0.97,0.2,1,1.1016,1.40913333333333
en668,2021-07-21 11:21:00,41.3174,-70.5765,5,a,>0,3.53,1.4,1,3.14853333333333,2.82793333333333
en668,2021-07-21 11:21:00,41.3174,-70.5765,5,b,>0,3.45,1.14,1,3.14853333333333,2.82793333333333
en668,2021-07-21 11:21:00,41.3174,-70.5765,5,c,>0,3.55,1.08,1,3.14853333333333,2.82793333333333
en668,2021-07-21 14:28:00,41.2726,-71.0516,5,a,>0,0.64,0.76,3,1.01893333333333,0.793733333333333
en668,2021-07-21 14:28:00,41.2726,-71.0516,5,b,>0,1.04,0.3,1,1.01893333333333,0.793733333333333
en668,2021-07-21 14:28:00,41.2726,-71.0516,5,c,>0,0.84,0.54,1,1.01893333333333,0.793733333333333
