cruise,date_time_utc,latitude,longitude,depth,replicate,filter_size,chl,phaeo,iode_quality_flag,fluorescence_wetstar_match,fluorescence_ecofl_match
en644,2019-08-19 17:10:00,41.2585,-71.1358,5,a,>0,0.89,0.73,1,0.8707,0.7962
en644,2019-08-19 17:10:00,41.2585,-71.1358,5,b,>0,0.77,0.96,1,0.8707,0.7962
en644,2019-08-19 17:10:00,41.2585,-71.1358,5,c,>0,0.9,0.76,1,0.8707,0.7962
en644,2019-08-19 17:47:00,41.2585,-71.1264,5,a,>0,0.55,2.06,1,0.9379,0.845133333333333
en644,2019-08-19 17:47:00,41.2585,-71.1264,5,b,>0,1.17,1.08,1,0.9379,0.845133333333333
en644,2019-08-19 17:47:00,41.2585,-71.1264,5,c,>0,0.9,1.84,1,0.9379,0.845133333333333
en644,2019-08-19 19:00:00,41.3021,-71.2476,5,a,>0,0.76,3.24,3,1.0988,1.06
en644,2019-08-19 19:00:00,41.3021,-71.2476,5,b,>0,1.28,1.77,1,1.0988,1.06
en644,2019-08-19 19:00:00,41.3021,-71.2476,5,c,>0,1.36,1.9,1,1.0988,1.06
en644,2019-08-19 20:04:00,41.3858,-71.3639,5,a,>0,1.69,2.97,1,1.68953333333333,1.68516666666667
en644,2019-08-19 20:04:00,41.3858,-71.3639,5,b,>0,1.86,2.7,1,1.68953333333333,1.68516666666667
en644,2019-08-19 20:04:00,41.3858,-71.3639,5,c,>0,2.3,1.67,1,1.68953333333333,1.68516666666667
en644,2019-08-19 20:26:00,41.4186,-71.4048,5,a,>0,3.45,2.63,1,2.37146666666667,2.24193333333333
en644,2019-08-19 20:26:00,41.4186,-71.4048,5,b,>0,3.21,1.64,1,2.37146666666667,2.24193333333333
en644,2019-08-19 20:26:00,41.4186,-71.4048,5,c,>0,3.64,2.7,1,2.37146666666667,2.24193333333333
en644,2019-08-21 03:50:00,41.0332,-70.9259,5,a,>0,1.47,0.64,1,1.1276,1.9098
en644,2019-08-21 03:50:00,41.0332,-70.9259,5,b,>0,2.28,1.28,1,1.1276,1.9098
en644,2019-08-21 03:50:00,41.0332,-70.9259,5,c,>0,2.31,1.52,1,1.1276,1.9098
en644,2019-08-21 06:08:00,41.029,-70.9588,5,a,>0,3.76,2.37,3,1.09156666666667,1.8512
en644,2019-08-21 06:08:00,41.029,-70.9588,5,b,>0,3.97,1.57,3,1.09156666666667,1.8512
en644,2019-08-21 06:08:00,41.029,-70.9588,5,c,>0,3.78,2.11,3,1.09156666666667,1.8512
en644,2019-08-21 06:14:00,41.0293,-70.9368,5,a,>0,2.69,1.56,3,0.8707,1.50926666666667
en644,2019-08-21 06:14:00,41.0293,-70.9368,5,b,>0,2.77,1.23,3,0.8707,1.50926666666667
en644,2019-08-21 06:14:00,41.0293,-70.9368,5,c,>0,2.63,1.4,3,0.8707,1.50926666666667
en644,2019-08-22 07:39:00,40.0979,-70.7704,5,a,>0,0.52,0.3,1,0.1983,0.317633333333333
en644,2019-08-22 07:39:00,40.0979,-70.7704,5,b,>0,0.42,0.42,1,0.1983,0.317633333333333
en644,2019-08-22 07:39:00,40.0979,-70.7704,5,c,>0,0.57,0.42,1,0.1983,0.317633333333333
en644,2019-08-22 07:55:00,40.0987,-70.7189,5,a,>0,0.52,0.83,3,0.1431,0.219966666666667
en644,2019-08-22 07:55:00,40.0987,-70.7189,5,b,>0,0.25,0.47,3,0.1431,0.219966666666667
en644,2019-08-22 07:55:00,40.0987,-70.7189,5,c,>0,NaN,NaN,NaN,0.1431,0.219966666666667
en644,2019-08-22 09:30:00,40.1,-70.775,5,a,>0,0.5,0.33,1,0.2007,0.317633333333333
en644,2019-08-22 09:30:00,40.1,-70.775,5,b,>0,0.52,0.37,1,0.2007,0.317633333333333
en644,2019-08-22 09:30:00,40.1,-70.775,5,c,>0,0.55,0.29,1,0.2007,0.317633333333333
en644,2019-08-23 09:32:00,39.7926,-71.0748,5,a,>0,0.12,0.14,3,0.0518,0.0636
en644,2019-08-23 09:32:00,39.7926,-71.0748,5,b,>0,0.06,0.24,3,0.0518,0.0636
en644,2019-08-23 09:32:00,39.7926,-71.0748,5,c,>0,0.16,0.09,1,0.0518,0.0636
