cruise,date_time_utc,latitude,longitude,depth,replicate,filter_size,chl,phaeo,iode_quality_flag,fluorescence_wetstar_match,fluorescence_ecofl_match
en657,2020-10-16 22:47:00,40.3659,-70.7765,5,b,>0,1.36,0.49,1,1.85913333333333,1.9788
en657,2020-10-16 22:47:00,40.3659,-70.7765,5,c,>0,0.93,1.01,3,1.85913333333333,1.9788
en657,2020-10-16 23:24:00,40.3629,-70.837,5,a,>0,1.49,0.19,1,1.40043333333333,1.56856666666667
en657,2020-10-16 23:24:00,40.3629,-70.837,5,b,>0,1.29,0.52,1,1.40043333333333,1.56856666666667
en657,2020-10-16 23:24:00,40.3629,-70.837,5,c,>0,1.16,0.59,1,1.40043333333333,1.56856666666667
en657,2020-10-17 02:27:00,40.3619,-70.9899,5,a,>0,0.73,0.5,3,1.2996,1.444
en657,2020-10-17 02:27:00,40.3619,-70.9899,5,b,>0,0.76,0.45,3,1.2996,1.444
en657,2020-10-17 02:27:00,40.3619,-70.9899,5,c,>0,0.77,1.28,3,1.2996,1.444
en657,2020-10-17 16:31:00,40.9857,-70.8826,5,a,>0,2.3,1.39,3,1.34763333333333,1.16566666666667
en657,2020-10-17 16:31:00,40.9857,-70.8826,5,b,>0,NaN,NaN,NaN,1.34763333333333,1.16566666666667
en657,2020-10-17 16:31:00,40.9857,-70.8826,5,c,>0,NaN,NaN,NaN,1.34763333333333,1.16566666666667
en657,2020-10-17 20:39:00,41.1207,-70.8833,5,a,>0,5.17,1.32,1,2.74996666666667,2.3085
en657,2020-10-17 20:39:00,41.1207,-70.8833,5,b,>0,4.6,1.42,1,2.74996666666667,2.3085
en657,2020-10-17 20:39:00,41.1207,-70.8833,5,c,>0,4.95,1.81,1,2.74996666666667,2.3085
en657,2020-10-17 21:32:00,41.0496,-70.8854,5,a,>0,5.8,1.53,1,2.9181,2.39396666666667
en657,2020-10-17 21:32:00,41.0496,-70.8854,5,b,>0,6.3,2.1,1,2.9181,2.39396666666667
en657,2020-10-17 21:32:00,41.0496,-70.8854,5,c,>0,5.93,1.62,1,2.9181,2.39396666666667
en657,2020-10-17 22:56:00,41.0162,-70.8841,5,a,>0,NaN,NaN,NaN,2.53866666666667,3.03863333333333
en657,2020-10-17 22:56:00,41.0162,-70.8841,5,b,>0,NaN,NaN,NaN,2.53866666666667,3.03863333333333
en657,2020-10-17 22:56:00,41.0162,-70.8841,5,c,>0,3.6,3.14,3,2.53866666666667,3.03863333333333
en657,2020-10-18 00:13:00,41.2026,-70.8328,5,a,>0,4.84,1.82,1,2.3466,2.9996
en657,2020-10-18 00:13:00,41.2026,-70.8328,5,b,>0,4.95,1.67,1,2.3466,2.9996
en657,2020-10-18 00:13:00,41.2026,-70.8328,5,c,>0,5.09,1.79,1,2.3466,2.9996
en657,2020-10-18 02:08:00,41.3216,-70.5796,5,a,>0,3.75,1.74,1,2.7188,3.30726666666667
en657,2020-10-18 02:08:00,41.3216,-70.5796,5,b,>0,3.45,2.54,1,2.7188,3.30726666666667
en657,2020-10-18 02:08:00,41.3216,-70.5796,5,c,>0,4.4,1.27,1,2.7188,3.30726666666667
en657,2020-10-18 04:11:00,41.2332,-70.6948,5,a,>0,5.75,1.21,1,2.65873333333333,3.35613333333333
en657,2020-10-18 04:11:00,41.2332,-70.6948,5,b,>0,5.7,0.76,1,2.65873333333333,3.35613333333333
en657,2020-10-18 04:11:00,41.2332,-70.6948,5,c,>0,4.88,2.16,1,2.65873333333333,3.35613333333333
en657,2020-10-18 04:32:00,41.2119,-70.7227,5,a,>0,NaN,NaN,NaN,2.7452,3.5759
en657,2020-10-18 04:32:00,41.2119,-70.7227,5,b,>0,6.24,1.24,1,2.7452,3.5759
en657,2020-10-18 04:32:00,41.2119,-70.7227,5,c,>0,6.24,1.45,1,2.7452,3.5759
