cruise,date_time_utc,latitude,longitude,depth,replicate,filter_size,chl,phaeo,iode_quality_flag,fluorescence_wetstar_match,fluorescence_ecofl_match
en657,2020-10-14 09:52:00,41.0301,-70.8373,5,a,>0,4.92,0.17,1,1.7222,2.0179
en657,2020-10-14 09:52:00,41.0301,-70.8373,5,b,>0,4.55,1.89,1,1.7222,2.0179
en657,2020-10-14 09:52:00,41.0301,-70.8373,5,c,>0,4.49,0.6,1,1.7222,2.0179
en657,2020-10-14 10:28:00,41.0298,-70.9625,5,a,>0,4,1.51,1,1.72703333333333,2.0179
en657,2020-10-14 10:28:00,41.0298,-70.9625,5,b,>0,4.06,0.52,1,1.72703333333333,2.0179
en657,2020-10-14 10:28:00,41.0298,-70.9625,5,c,>0,3.49,1.18,1,1.72703333333333,2.0179
en657,2020-10-14 14:59:00,40.9436,-70.8836,5,a,>0,1.89,1.01,1,0.853,0.647933333333333
en657,2020-10-14 14:59:00,40.9436,-70.8836,5,b,>0,1.61,1.19,1,0.853,0.647933333333333
en657,2020-10-14 14:59:00,40.9436,-70.8836,5,c,>0,1.8,1.04,1,0.853,0.647933333333333
en657,2020-10-15 00:53:00,40.4672,-70.8819,5,a,>0,0.62,0.42,1,0.7833,0.8555
en657,2020-10-15 00:53:00,40.4672,-70.8819,5,b,>0,0.65,0.47,1,0.7833,0.8555
en657,2020-10-15 00:53:00,40.4672,-70.8819,5,c,>0,0.81,0.23,1,0.7833,0.8555
en657,2020-10-15 01:14:00,40.4091,-70.883,5,a,>0,0.82,0.51,1,0.985,1.1339
en657,2020-10-15 01:14:00,40.4091,-70.883,5,b,>0,0.85,0.49,1,0.985,1.1339
en657,2020-10-15 01:14:00,40.4091,-70.883,5,c,>0,0.84,0.57,1,0.985,1.1339
en657,2020-10-15 22:22:00,39.6873,-70.8876,5,a,>0,0.49,0.3,1,0.7377,0.7114
en657,2020-10-15 22:22:00,39.6873,-70.8876,5,b,>0,0.64,0.16,1,0.7377,0.7114
en657,2020-10-15 22:22:00,39.6873,-70.8876,5,c,>0,0.38,0.48,3,0.7377,0.7114
en657,2020-10-16 13:15:00,40.081,-70.7948,5,a,>0,0.78,0.33,1,1.0211,0.875033333333333
en657,2020-10-16 13:15:00,40.081,-70.7948,5,b,>0,0.79,0.35,1,1.0211,0.875033333333333
en657,2020-10-16 13:15:00,40.081,-70.7948,5,c,>0,0.89,0.22,1,1.0211,0.875033333333333
en657,2020-10-16 14:14:00,39.9366,-70.883,5,a,>0,0.49,0.29,1,0.7305,0.6186
en657,2020-10-16 14:14:00,39.9366,-70.883,5,b,>0,0.5,0.27,1,0.7305,0.6186
en657,2020-10-16 14:14:00,39.9366,-70.883,5,c,>0,0.5,0.29,1,0.7305,0.6186
en657,2020-10-16 17:59:00,40.2269,-70.8833,5,a,>0,0.72,0.34,1,0.8001,0.633266666666667
en657,2020-10-16 17:59:00,40.2269,-70.8833,5,b,>0,0.82,0.1,1,0.8001,0.633266666666667
en657,2020-10-16 17:59:00,40.2269,-70.8833,5,c,>0,1.15,-0.03,3,0.8001,0.633266666666667
en657,2020-10-16 22:47:00,40.3659,-70.7765,5,a,>0,1.29,0.47,1,1.85913333333333,1.9788
