cruise,date_time_utc,latitude,longitude,sample_id,replicate,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,fo_blank,fa_blank,fo_fa,chl,phaeo,qc
en644,2019-08-19 17:10:00+00:00,,,1,a,152,6,0.7959,2.1822,39.9,24.5,0.87,39.03,23.63,1.63,0.89,0.73,1
en644,2019-08-19 17:10:00+00:00,,,1,b,152,6,0.7959,2.1822,39.3,26.1,0.87,38.43,25.23,1.51,0.77,0.96,1
en644,2019-08-19 17:10:00+00:00,,,1,c,152,6,0.7959,2.1822,40.8,25.2,0.87,39.93,24.33,1.62,0.9,0.76,1
en644,2019-08-19 17:47:00+00:00,,,2,a,152,6,0.7959,2.1822,48.2,38.8,0.87,47.33,37.93,1.24,0.55,2.06,1
en644,2019-08-19 17:47:00+00:00,,,2,b,152,6,0.7959,2.1822,53.9,33.7,0.87,53.03,32.83,1.6,1.17,1.08,1
en644,2019-08-19 17:47:00+00:00,,,2,c,152,6,0.7959,2.1822,56.3,40.8,0.87,55.43,39.93,1.38,0.9,1.84,1
en644,2019-08-19 19:00:00+00:00,,,3,a,152,6,0.7959,2.1822,72.3,59.2,0.87,71.43,58.33,1.22,0.76,3.24,3
en644,2019-08-19 19:00:00+00:00,,,3,b,152,6,0.7959,2.1822,67.5,45.4,0.87,66.63,44.53,1.49,1.28,1.77,1
en644,2019-08-19 19:00:00+00:00,,,3,c,152,6,0.7959,2.1822,71.9,48.4,0.87,71.03,47.53,1.49,1.36,1.9,1
en644,2019-08-19 20:04:00+00:00,,,4,a,152,6,0.7959,2.1822,98.1,68.9,0.87,97.23,68.03,1.42,1.69,2.97,1
en644,2019-08-19 20:04:00+00:00,,,4,b,152,6,0.7959,2.1822,99.3,67.3,0.87,98.43,66.43,1.48,1.86,2.7,1
en644,2019-08-19 20:04:00+00:00,,,4,c,152,6,0.7959,2.1822,98.4,58.8,0.87,97.53,57.93,1.67,2.3,1.67,1
en644,2019-08-19 20:26:00+00:00,,,5,a,152,6,0.7959,2.1822,149,89.5,0.87,148.13,88.63,1.66,3.45,2.63,1
en644,2019-08-19 20:26:00+00:00,,,5,b,152,6,0.7959,2.1822,127,71.6,0.87,126.13,70.73,1.77,3.21,1.64,1
en644,2019-08-19 20:26:00+00:00,,,5,c,152,6,0.7959,2.1822,156,93.3,0.87,155.13,92.43,1.67,3.64,2.7,1
en644,2019-08-21 03:50:00+00:00,,,6,a,152,6,0.7959,2.1822,57,31.6,0.84,56.16,30.76,1.8,1.47,0.64,1
en644,2019-08-21 03:50:00+00:00,,,6,b,152,6,0.7959,2.1822,92.3,52.9,0.84,91.46,52.06,1.74,2.28,1.28,1
en644,2019-08-21 03:50:00+00:00,,,6,c,152,6,0.7959,2.1822,96.4,56.6,0.84,95.56,55.76,1.7,2.31,1.52,1
en644,2019-08-21 06:08:00+00:00,,,7,a,152,6,0.7959,2.1822,155,90.2,0.84,154.16,89.36,1.72,3.76,2.37,3
en644,2019-08-21 06:08:00+00:00,,,7,b,152,6,0.7959,2.1822,150,81.6,0.84,149.16,80.76,1.84,3.97,1.57,3
en644,2019-08-21 06:08:00+00:00,,,7,c,152,6,0.7959,2.1822,152,86.8,0.84,151.16,85.96,1.75,3.78,2.11,3
en644,2019-08-21 06:14:00+00:00,,,8,a,152,6,0.7959,2.1822,109,62.7,0.84,108.16,61.86,1.74,2.69,1.56,3
en644,2019-08-21 06:14:00+00:00,,,8,b,152,6,0.7959,2.1822,107,59.2,0.84,106.16,58.36,1.81,2.77,1.23,3
en644,2019-08-21 06:14:00+00:00,,,8,c,152,6,0.7959,2.1822,105,59.6,0.84,104.16,58.76,1.76,2.63,1.4,3
en644,2019-08-22 07:39:00+00:00,,,9,a,152,6,0.7959,2.1822,21.8,12.8,0.85,20.95,11.95,1.7,0.52,0.3,1
en644,2019-08-22 07:39:00+00:00,,,9,b,152,6,0.7959,2.1822,20.3,13.1,0.85,19.45,12.25,1.55,0.42,0.42,1
en644,2019-08-22 07:39:00+00:00,,,9,c,152,6,0.7959,2.1822,25.1,15.3,0.85,24.25,14.45,1.64,0.57,0.42,1
en644,2019-08-22 07:55:00+00:00,,,10,a,152,6,0.7959,2.1822,29.5,20.5,0.85,28.65,19.65,1.44,0.52,0.83,3
en644,2019-08-22 07:55:00+00:00,,,10,b,152,6,0.7959,2.1822,15.7,11.4,0.85,14.85,10.55,1.38,0.25,0.47,3
en644,2019-08-22 07:55:00+00:00,,,10,c,152,6,0.7959,2.1822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
en644,2019-08-22 09:30:00+00:00,,,11,a,152,6,0.7959,2.1822,21.5,12.9,0.85,20.65,12.05,1.67,0.5,0.33,1
en644,2019-08-22 09:30:00+00:00,,,11,b,152,6,0.7959,2.1822,22.8,13.8,0.85,21.95,12.95,1.65,0.52,0.37,1
en644,2019-08-22 09:30:00+00:00,,,11,c,152,6,0.7959,2.1822,22.6,13.1,0.85,21.75,12.25,1.73,0.55,0.29,1
en644,2019-08-23 09:32:00+00:00,,,12,a,152,6,0.7959,2.1822,6.8,4.66,0.85,5.95,3.81,1.46,0.12,0.14,3
en644,2019-08-23 09:32:00+00:00,,,12,b,152,6,0.7959,2.1822,6.31,5.27,0.85,5.46,4.42,1.2,0.06,0.24,3
en644,2019-08-23 09:32:00+00:00,,,12,c,152,6,0.7959,2.1822,7.3,4.54,0.85,6.45,3.69,1.61,0.16,0.09,1
