cruise,date_time_utc,latitude,longitude,sample_id,replicate,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,fo_blank,fa_blank,fo_fa,chl,phaeo
en657,2020-10-14 09:52:00+00:00,,,1,a,152,6,0.8375,2.1524,152,72.3,0.74,151.27,71.57,2.1,4.92,0.17
en657,2020-10-14 09:52:00+00:00,,,1,b,152,6,0.8375,2.1524,165,91.3,0.74,164.27,90.57,1.81,4.55,1.89
en657,2020-10-14 09:52:00+00:00,,,1,c,152,6,0.8375,2.1524,145,72.3,0.74,144.27,71.57,2.01,4.49,0.6
en657,2020-10-14 10:28:00+00:00,,,2,a,152,6,0.8375,2.1524,143,78.2,0.74,142.27,77.47,1.83,4,1.51
en657,2020-10-14 10:28:00+00:00,,,2,b,152,6,0.8375,2.1524,131,65.2,0.74,130.27,64.47,2.01,4.06,0.52
en657,2020-10-14 10:28:00+00:00,,,2,c,152,6,0.8375,2.1524,123,66.4,0.74,122.27,65.67,1.85,3.49,1.18
en657,2020-10-14 14:59:00+00:00,,,3,a,152,6,0.8375,2.1524,72.1,41.5,0.72,71.38,40.78,1.74,1.89,1.01
en657,2020-10-14 14:59:00+00:00,,,3,b,152,6,0.8375,2.1524,66.2,40.1,0.72,65.48,39.38,1.65,1.61,1.19
en657,2020-10-14 14:59:00+00:00,,,3,c,152,6,0.8375,2.1524,69.9,40.7,0.72,69.18,39.98,1.72,1.8,1.04
en657,2020-10-15 00:53:00+00:00,,,4,a,152,6,0.8375,2.1524,25.5,15.4,0.73,24.77,14.67,1.66,0.62,0.42
en657,2020-10-15 00:53:00+00:00,,,4,b,152,6,0.8375,2.1524,27,16.5,0.73,26.27,15.77,1.64,0.65,0.47
en657,2020-10-15 00:53:00+00:00,,,4,c,152,6,0.8375,2.1524,28.4,15.3,0.73,27.67,14.57,1.86,0.81,0.23
en657,2020-10-15 01:14:00+00:00,,,5,a,152,6,0.8375,2.1524,32.5,19.3,0.73,31.77,18.57,1.68,0.82,0.51
en657,2020-10-15 01:14:00+00:00,,,5,b,152,6,0.8375,2.1524,33.4,19.6,0.73,32.67,18.87,1.7,0.85,0.49
en657,2020-10-15 01:14:00+00:00,,,5,c,152,6,0.8375,2.1524,34.2,20.6,0.73,33.47,19.87,1.66,0.84,0.57
en657,2020-10-15 22:22:00+00:00,,,6,a,152,6,0.8375,2.1524,19.8,11.9,0.84,18.96,11.06,1.66,0.49,0.3
en657,2020-10-15 22:22:00+00:00,,,6,b,152,6,0.8375,2.1524,22.4,12.1,0.84,21.56,11.26,1.85,0.64,0.16
en657,2020-10-15 22:22:00+00:00,,,6,c,152,6,0.8375,2.1524,19.1,12.9,0.84,18.26,12.06,1.48,0.38,0.48
en657,2020-10-16 13:15:00+00:00,,,7,a,152,6,0.8375,2.1524,29,16.4,0.84,28.16,15.56,1.77,0.78,0.33
en657,2020-10-16 13:15:00+00:00,,,7,b,152,6,0.8375,2.1524,29.6,16.8,0.84,28.76,15.96,1.76,0.79,0.35
en657,2020-10-16 13:15:00+00:00,,,7,c,152,6,0.8375,2.1524,30.9,16.5,0.84,30.06,15.66,1.87,0.89,0.22
en657,2020-10-16 14:14:00+00:00,,,8,a,152,6,0.8375,2.1524,19.7,11.8,0.84,18.86,10.96,1.67,0.49,0.29
en657,2020-10-16 14:14:00+00:00,,,8,b,152,6,0.8375,2.1524,19.7,11.6,0.84,18.86,10.76,1.7,0.5,0.27
en657,2020-10-16 14:14:00+00:00,,,8,c,152,6,0.8375,2.1524,20,11.9,0.84,19.16,11.06,1.68,0.5,0.29
en657,2020-10-16 17:59:00+00:00,,,9,a,152,6,0.8375,2.1524,27.4,15.8,0.91,26.49,14.89,1.73,0.72,0.34
en657,2020-10-16 17:59:00+00:00,,,9,b,152,6,0.8375,2.1524,27.2,13.9,0.91,26.29,12.99,1.96,0.82,0.1
en657,2020-10-16 17:59:00+00:00,,,9,c,152,6,0.8375,2.1524,35.2,16.6,0.91,34.29,15.69,2.12,1.15,-0.03
en657,2020-10-16 22:47:00+00:00,,,10,a,152,6,0.8375,2.1524,46.6,25.7,0.91,45.69,24.79,1.81,1.29,0.47
en657,2020-10-16 22:47:00+00:00,,,10,b,152,6,0.8375,2.1524,48.9,26.9,0.91,47.99,25.99,1.82,1.36,0.49
en657,2020-10-16 22:47:00+00:00,,,10,c,152,6,0.8375,2.1524,43.1,28.1,0.91,42.19,27.19,1.53,0.93,1.01
en657,2020-10-16 23:24:00+00:00,,,11,a,152,6,0.8375,2.1524,48.8,24.6,0.91,47.89,23.69,1.98,1.49,0.19
en657,2020-10-16 23:24:00+00:00,,,11,b,152,6,0.8375,2.1524,47.2,26.3,0.91,46.29,25.39,1.79,1.29,0.52
en657,2020-10-16 23:24:00+00:00,,,11,c,152,6,0.8375,2.1524,44.3,25.5,0.91,43.39,24.59,1.74,1.16,0.59
en657,2020-10-17 02:27:00+00:00,,,12,a,152,6,0.8375,2.1524,30.2,18.3,0.91,29.29,17.39,1.65,0.73,0.5
en657,2020-10-17 02:27:00+00:00,,,12,b,152,6,0.8375,2.1524,30.2,17.9,0.91,29.29,16.99,1.69,0.76,0.45
en657,2020-10-17 02:27:00+00:00,,,12,c,152,6,0.8375,2.1524,42.3,29.8,0.91,41.39,28.89,1.42,0.77,1.28
en657,2020-10-17 16:31:00+00:00,,,13,a,152,6,0.8375,2.1524,90.2,52.9,0.94,89.26,51.96,1.71,2.3,1.39
en657,2020-10-17 16:31:00+00:00,,,13,b,152,6,0.8375,2.1524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,2020-10-17 16:31:00+00:00,,,13,c,152,6,0.8375,2.1524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,2020-10-17 20:39:00+00:00,,,14,a,152,6,0.8375,2.1524,176,92.2,0.94,175.06,91.26,1.91,5.17,1.32
en657,2020-10-17 20:39:00+00:00,,,14,b,152,6,0.8375,2.1524,160,85.5,0.94,159.06,84.56,1.87,4.6,1.42
en657,2020-10-17 20:39:00+00:00,,,14,c,152,6,0.8375,2.1524,176,95.9,0.94,175.06,94.96,1.84,4.95,1.81
en657,2020-10-17 21:32:00+00:00,,,15,a,152,6,0.8375,2.1524,198,104,0.94,197.06,103.06,1.9,5.8,1.53
en657,2020-10-17 21:32:00+00:00,,,15,b,152,6,0.8375,2.1524,221,119,0.94,220.06,118.06,1.86,6.3,2.1
en657,2020-10-17 21:32:00+00:00,,,15,c,152,6,0.8375,2.1524,203,107,0.94,202.06,106.06,1.9,5.93,1.62
en657,2020-10-17 22:56:00+00:00,,,16,a,152,6,0.8375,2.1524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,2020-10-17 22:56:00+00:00,,,16,b,152,6,0.8375,2.1524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,2020-10-17 22:56:00+00:00,,,16,c,152,6,0.8375,2.1524,154,95.7,0.94,153.06,94.76,1.61,3.6,3.14
en657,2020-10-18 00:13:00+00:00,,,17,a,152,6,0.8375,2.1524,173,94.6,0.94,172.06,93.66,1.83,4.84,1.82
en657,2020-10-18 00:13:00+00:00,,,17,b,152,6,0.8375,2.1524,174,93.9,0.94,173.06,92.96,1.85,4.95,1.67
en657,2020-10-18 00:13:00+00:00,,,17,c,152,6,0.8375,2.1524,180,97.6,0.94,179.06,96.66,1.84,5.09,1.79
en657,2020-10-18 02:08:00+00:00,,,18,a,152,6,0.8375,2.1524,139,78.2,0.94,138.06,77.26,1.78,3.75,1.74
en657,2020-10-18 02:08:00+00:00,,,18,b,152,6,0.8375,2.1524,141,85.1,0.94,140.06,84.16,1.66,3.45,2.54
en657,2020-10-18 02:08:00+00:00,,,18,c,152,6,0.8375,2.1524,152,80.7,0.94,151.06,79.76,1.88,4.4,1.27
en657,2020-10-18 04:11:00+00:00,,,19,a,152,6,0.8375,2.1524,192,98.8,0.94,191.06,97.86,1.94,5.75,1.21
en657,2020-10-18 04:11:00+00:00,,,19,b,152,6,0.8375,2.1524,184,91.7,0.94,183.06,90.76,2.01,5.7,0.76
en657,2020-10-18 04:11:00+00:00,,,19,c,152,6,0.8375,2.1524,179,99.9,0.94,178.06,98.96,1.79,4.88,2.16
en657,2020-10-18 04:32:00+00:00,,,20,a,152,6,0.8375,2.1524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,2020-10-18 04:32:00+00:00,,,20,b,152,6,0.8375,2.1524,207,106,0.94,206.06,105.06,1.95,6.24,1.24
en657,2020-10-18 04:32:00+00:00,,,20,c,152,6,0.8375,2.1524,210,109,0.94,209.06,108.06,1.93,6.24,1.45
